lago,trimestre,observaciones,cyano_promedio,area_alta_promedio_pct
Amatitlan,T1,5,5.2277687072753904,8.021201373408
Amatitlan,T2,5,7.6794562339782715,45.92957852985477
Amatitlan,T4,1,4.675342559814453,5.52531301034295
Atitlan,T1,3,0.8561793565750122,11.263605806478997
Atitlan,T2,4,1.7655156254768372,44.22089974295986
Atitlan,T3,2,1.115529179573059,25.61774935698451
Atitlan,T4,2,0.4075918048620224,6.795197443020477
