lago,fecha,umbral_alto_relativo,promedio,mediana,p90,maximo,pixeles_validos,porcentaje_area_valores_altos
Atitlan,2025-01-18,1.9521706104278564,0.3868970274925232,0.43181297183036804,1.7191426753997803,30.662933349609375,311437,6.942335046895519
Atitlan,2025-04-13,1.9521706104278564,1.783337950706482,1.7752903699874878,2.6317381858825684,23.673519134521484,307664,39.1527770554891
Atitlan,2025-05-13,1.9521706104278564,1.2936269044876099,1.308051586151123,2.6022350788116455,13.703752517700195,307638,28.377183572900616
Atitlan,2025-07-17,1.9521706104278564,1.0868524312973022,1.206728458404541,2.6284050941467285,84.1328125,293825,25.493405938909216
Atitlan,2025-11-21,1.9521706104278564,0.2716751992702484,0.32762354612350464,1.6689801216125488,27.198829650878906,308754,6.234089274956761
Atitlan,2025-12-29,1.9521706104278564,0.5435084104537964,0.534273624420166,1.7587698698043823,26.949405670166016,311651,7.356305611084194
Atitlan,2026-02-12,1.9521706104278564,0.9165403246879578,0.9299899935722351,1.9578218460083008,21.310285568237305,308458,10.06555187416115
Atitlan,2026-03-24,1.9521706104278564,1.2651007175445557,1.2789466381072998,2.1947011947631836,13.537391662597656,307777,16.78293049838032
Atitlan,2026-04-13,1.9521706104278564,2.1286091804504395,2.2240817546844482,3.2539215087890625,15.917075157165527,306970,61.710590611460404
Atitlan,2026-04-28,1.9521706104278564,1.8564884662628174,1.8960732221603394,2.9091007709503174,10.826419830322266,306943,47.64304773198933
Atitlan,2026-07-22,1.9521706104278564,1.144205927848816,1.1528749465942383,2.6708319187164307,23.25518798828125,306397,25.74209277505981
Amatitlan,2025-01-28,6.003735065460205,4.428946495056152,4.491105556488037,4.75006103515625,21.60055923461914,36896,0.7128143972246314
Amatitlan,2025-04-15,6.003735065460205,4.5285444259643555,4.584526062011719,5.906035423278809,21.94310760498047,36473,8.836673703835714
Amatitlan,2025-04-28,6.003735065460205,5.746625900268555,4.8780035972595215,9.001626014709473,34.34856414794922,36474,28.228327027471625
Amatitlan,2025-11-24,6.003735065460205,4.675342559814453,4.038565158843994,5.140887260437012,115.43405151367188,36740,5.52531301034295
Amatitlan,2026-01-08,6.003735065460205,6.688481330871582,4.892782688140869,7.892995357513428,131.24395751953125,36928,15.763106585788561
Amatitlan,2026-02-02,6.003735065460205,4.287637233734131,4.394196033477783,4.702783107757568,14.016261100769043,36209,0.019332210223977464
Amatitlan,2026-02-07,6.003735065460205,4.302522659301758,4.453448295593262,4.737756252288818,15.427299499511719,36792,0.18210480539247662
Amatitlan,2026-03-29,6.003735065460205,6.43125581741333,5.241988658905029,8.174210548400879,49.3872184753418,36895,23.428648868410352
Amatitlan,2026-04-13,6.003735065460205,6.738170146942139,6.3933000564575195,8.635921478271484,28.1586971282959,37052,64.23944726330562
Amatitlan,2026-04-28,6.003735065460205,9.910918235778809,6.430047988891602,21.345563888549805,46.144222259521484,35140,51.1126920887877
Amatitlan,2026-06-19,6.003735065460205,11.4730224609375,10.680395126342773,18.30816650390625,92.23839569091797,36927,77.2307525658732
