lago,fechas_analizadas,correlacion_ndvi_media,correlacion_ndvi_mediana,correlacion_ndwi_media,correlacion_ndwi_mediana
Amatitlan,11,0.5260286143135569,0.6067268058293039,-0.43890167870179975,-0.5592103224775455
Atitlan,11,0.04494960831801953,0.05043133104925344,-0.18306596042368647,-0.16232693496717418
