fecha,cyano_promedio,cyano_mediana,cyano_p90,pct_area_agua,lago
2025-01-18,0.3868970274925232,0.43181297183036804,1.7191426753997803,26.075311355311356,Atitlan
2025-04-13,1.783337950706482,1.7752903699874878,2.6317381858825684,25.75941391941392,Atitlan
2025-05-13,1.2936269044876099,1.308051586151123,2.6022350788116455,25.75723704866562,Atitlan
2025-07-17,1.0868524312973022,1.206728458404541,2.6284050941467285,24.600732600732602,Atitlan
2025-11-21,0.2716751992702484,0.32762354612350464,1.6689801216125488,25.850675039246468,Atitlan
2025-12-29,0.5435084104537964,0.534273624420166,1.7587698698043823,26.09322867608582,Atitlan
2026-02-12,0.9165403246879578,0.9299899935722351,1.9578218460083008,25.82589220303506,Atitlan
2026-03-24,1.2651007175445557,1.2789466381072998,2.1947011947631836,25.76887493458922,Atitlan
2026-04-13,2.1286091804504395,2.2240817546844482,3.2539215087890625,25.70130821559393,Atitlan
2026-04-28,1.8564884662628174,1.8960732221603394,2.9091007709503174,25.69904761904762,Atitlan
2026-07-22,1.144205927848816,1.1528749465942383,2.6708319187164307,25.653333333333332,Atitlan
2025-01-28,4.428946495056152,4.491105556488037,4.75006103515625,12.023724173890374,Amatitlan
2025-04-15,4.5285444259643555,4.584526062011719,5.906035423278809,11.885876295379001,Amatitlan
2025-04-28,5.746625900268555,4.8780035972595215,9.001626014709473,11.886202176888483,Amatitlan
2025-11-24,4.675342559814453,4.038565158843994,5.140887260437012,11.972886658411001,Amatitlan
2026-01-08,6.688481330871582,4.892782688140869,7.892995357513428,12.034152382193835,Amatitlan
2026-02-02,4.287637233734131,4.394196033477783,4.702783107757568,11.799843576875448,Amatitlan
2026-02-07,4.302522659301758,4.453448295593262,4.737756252288818,11.989832496904125,Amatitlan
2026-03-29,6.43125581741333,5.241988658905029,8.174210548400879,12.02339829238089,Amatitlan
2026-04-13,6.738170146942139,6.3933000564575195,8.635921478271484,12.074561689369744,Amatitlan
2026-04-28,9.910918235778809,6.430047988891602,21.345563888549805,11.451476243237959,Amatitlan
2026-06-19,11.4730224609375,10.680395126342773,18.30816650390625,12.03382650068435,Amatitlan
