lago,fecha,correlacion_ndvi_cyano,correlacion_ndwi_cyano,pixeles_ndvi,pixeles_ndwi
Atitlan,2025-01-18,0.008962577472391176,-0.274753661661568,173346,218046
Atitlan,2025-04-13,-0.03754718519138099,-0.009150417794617198,307664,307664
Atitlan,2025-05-13,0.016123979366772345,-0.3287350002722669,307395,307441
Atitlan,2025-07-17,0.010556376852925686,-0.15255728216157025,288245,288559
Atitlan,2025-11-21,0.06361139388821417,-0.16232693496717418,256692,259100
Atitlan,2025-12-29,0.05043133104925344,-0.10347277635974156,293005,291393
Atitlan,2026-02-12,0.12492453805175549,-0.085169813639544,260302,245744
Atitlan,2026-03-24,-0.0418038611928286,0.04604562109154186,307202,307251
Atitlan,2026-04-13,0.11901709433182801,-0.3723017912494828,306171,306240
Atitlan,2026-04-28,0.07695323673483129,-0.2894695832777437,306943,306943
Atitlan,2026-07-22,0.1032162101344528,-0.2818339243683846,303637,303873
Amatitlan,2025-01-28,0.027884597907424744,0.01853782760982885,35825,35872
Amatitlan,2025-04-15,0.7771718309597319,-0.5986141358220812,36422,36425
Amatitlan,2025-04-28,0.8432291796634681,-0.7314984337303074,36474,36474
Amatitlan,2025-11-24,0.4532451282709636,-0.47477794269519086,36011,36029
Amatitlan,2026-01-08,0.5145064750165942,-0.5592103224775455,36812,36818
Amatitlan,2026-02-02,-0.05143388898785019,0.1346787959118076,36209,36209
Amatitlan,2026-02-07,0.14676660208451664,-0.1897241427014117,34011,34060
Amatitlan,2026-03-29,0.7923594008714404,-0.6986171946327784,36873,36876
Amatitlan,2026-04-13,0.6067268058293039,-0.12007969610802205,37016,37020
Amatitlan,2026-04-28,0.9082250576707767,-0.8820554348833128,35140,35140
Amatitlan,2026-06-19,0.7676335681627556,-0.7265577861907839,35780,35869
