lago,fecha,mean,median,max
Amatitlan,2025-01-28,0.0068156035,0.00020714971,0.99427706
Amatitlan,2025-04-15,0.021698013,4.9487255e-05,0.9999914
Amatitlan,2025-04-28,0.120060585,0.00056694436,0.9999969
Amatitlan,2025-11-24,0.033794593,0.00013528852,0.9999957
Amatitlan,2026-01-08,0.09048984,0.00015286553,0.9999969
Amatitlan,2026-02-02,0.0024503414,0.00017789468,0.99746907
Amatitlan,2026-02-07,0.0020473998,2.0854126e-05,0.99149346
Amatitlan,2026-03-29,0.09422461,0.00034004872,0.99999595
Amatitlan,2026-04-13,0.08564229,0.0002641669,0.9999989
Amatitlan,2026-04-28,0.38735285,0.0017468452,0.99999833
Amatitlan,2026-06-19,0.6058923,0.99425995,0.9999993
Atitlan,2025-01-18,0.0021662097,8.866457e-06,0.99926144
Atitlan,2025-04-13,0.00016533112,6.4833756e-07,0.99348664
Atitlan,2025-05-13,0.00017353825,8.1613723e-07,0.9968712
Atitlan,2025-07-17,0.0020507993,3.2605085e-06,0.9997497
Atitlan,2025-11-21,0.0016278682,5.87338e-06,0.9998242
Atitlan,2025-12-29,0.0007842272,1.5612238e-06,0.99873716
Atitlan,2026-02-12,0.0010381575,3.8088301e-06,0.997973
Atitlan,2026-03-24,0.00024795317,1.1614445e-06,0.99222213
Atitlan,2026-04-13,0.0007105244,3.0790172e-06,0.9971585
Atitlan,2026-04-28,0.00014354564,7.905123e-07,0.9954661
Atitlan,2026-07-22,0.0028282844,7.7090235e-06,0.99994755
