modelo,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.9777297261425475,0.3516160626836435,0.9751018560434586,0.5168566286742652,0.9961944255271247
random_forest,0.9971519267353891,0.8714912280701754,0.8995020371208692,0.8852751169525507,0.9973188828933436
xgboost,0.9961288324558687,0.7865552601595138,0.9375282933454051,0.8554316398182569,0.9991791221592905
