modelo,metrica,validacion,media,std
logistic_regression,f1,aleatoria,0.485430252328538,0.04412085139076454
logistic_regression,f1,espacial,0.48749026187834527,0.12973930947513543
logistic_regression,recall,aleatoria,0.9736557860326457,0.002245668634257501
logistic_regression,recall,espacial,0.9702002475848733,0.01963872650241815
logistic_regression,precision,aleatoria,0.32448761449699,0.038694792275177706
logistic_regression,precision,espacial,0.3351494121759275,0.11142662656386183
logistic_regression,roc_auc,aleatoria,0.9923067455042857,0.004285064870595735
logistic_regression,roc_auc,espacial,0.9924600090263388,0.005598990044033901
random_forest,f1,aleatoria,0.8904092698576717,0.003375378998049217
random_forest,f1,espacial,0.8686611106975342,0.042635934496160426
random_forest,recall,aleatoria,0.910239104607574,0.005103789547312942
random_forest,recall,espacial,0.8802307210635923,0.04072931089800221
random_forest,precision,aleatoria,0.8714530875834559,0.0047841426047583
random_forest,precision,espacial,0.8581330089230841,0.050279984750185185
random_forest,roc_auc,aleatoria,0.9965527407547011,0.0004491316741004592
random_forest,roc_auc,espacial,0.9952688841538816,0.0041757785774784156
xgboost,f1,aleatoria,0.8515249407760306,0.005714944085790053
xgboost,f1,espacial,0.8260424572275923,0.05524941091431933
xgboost,recall,aleatoria,0.9424225737182326,0.0036029091492817693
xgboost,recall,espacial,0.9222290714182526,0.03718205419865101
xgboost,precision,aleatoria,0.776700335020853,0.010215761049936382
xgboost,precision,espacial,0.7514162754870083,0.07760525092049204
xgboost,roc_auc,aleatoria,0.9990588389549458,0.00014562657045823972
xgboost,roc_auc,espacial,0.9984698700945656,0.0007174317601935452
