lago,n_bloques,obs_promedio_por_bloque,obs_mediana_por_bloque,obs_min_por_bloque,obs_max_por_bloque
Amatitlan,50,1276.86,732.0,1,4400
Atitlan,266,2025.9436090225563,1363.0,1,4620
